target_id	length	eff_length	est_counts	tpm
ENST00000390430	473	294	0	0
ENST00000390431	338	159	0	0
ENST00000607853	1684	1505	0	0
ENST00000619390	1504	1325	0	0
ENST00000624103	939	760	0	0
ENST00000380383	960	781	0	0
ENST00000514827	947	768	0	0
ENST00000623183	1069	890	0	0
ENST00000623508	1033	854	0	0
ENST00000573400	939	760	0	0
ENST00000618719	692	513	0	0
ENST00000629682	1576	1397	0	0
ENST00000620741	1738	1559	0	0
ENST00000627911	1363	1184	0	0
ENST00000625994	573	394	0	0
ENST00000628872	564	385	0	0
ENST00000617651	1734	1555	0	0
ENST00000616376	1504	1325	0	0
ENST00000444197	1649	1470	0	0
ENST00000622521	1039	860	0	0
ENST00000424348	959	780	0	0
ENST00000624217	990	811	0	0
ENST00000356130	983	804	0	0
ENST00000623849	966	787	0	0
ENST00000624469	1107	928	0	0
ENST00000504970	935	756	0	0
ENST00000440231	985	806	0	0
ENST00000621991	1256	1077	0	0
ENST00000619816	677	498	0	0
ENST00000624470	979	800	0	0
ENST00000624482	978	799	0	0
ENST00000610808	1322	1143	0	0
ENST00000611873	1112	933	0	0
ENST00000615270	1295	1116	0	0
ENST00000435101	692	513	0	0
ENST00000358097	1655	1476	0	0
ENST00000433992	1740	1561	0	0
ENST00000610593	1363	1184	0	0
ENST00000424775	573	394	0	0
ENST00000435688	564	385	0	0
ENST00000614967	1504	1325	0	0
ENST00000612115	1734	1555	0	0
ENST00000623991	1030	851	0	0
ENST00000623813	945	766	0	0
ENST00000623530	995	816	0	0
ENST00000624439	957	778	0	0
ENST00000439431	979	800	0	0
ENST00000623286	975	796	0	0
ENST00000623216	975	796	0	0
ENST00000623930	945	766	0	0
ENST00000623618	945	766	0	0
ENST00000613379	1322	1143	0	0
ENST00000624801	1124	945	0	0
ENST00000408920	1124	945	0	0
ENST00000418689	945	766	0	0
ENST00000625203	936	757	0	0
ENST00000623450	1110	931	0	0
ENST00000627256	14829	14650	0	0
ENST00000628539	656	477	0	0
ENST00000626903	404	225	0	0
ENST00000629229	553	374	0	0
ENST00000621433	8003	7824	0	0
ENST00000622207	1030	851	0	0
ENST00000623922	939	760	0	0
ENST00000570683	948	769	0	0
ENST00000624868	1025	846	0	0
ENST00000302329	1015	836	0	0
ENST00000621713	1240	1061	0	0
ENST00000377171	1273	1094	0	0
ENST00000625105	951	772	0	0
ENST00000625160	1072	893	0	0
ENST00000624502	998	819	0	0
ENST00000307401	998	819	0	0
ENST00000624797	918	739	0	0
ENST00000624144	918	739	0	0
ENST00000624187	939	760	0	0
ENST00000624064	1042	863	0	0
ENST00000534447	5330	5151	1	10.4675
ENST00000534142	2012	1833	0	0
ENST00000533478	5669	5490	0	0
ENST00000525539	7379	7200	0	0
ENST00000530363	1608	1429	0	0
ENST00000299598	5818	5639	2	19.1233
ENST00000529079	574	395	0	0
ENST00000531391	1488	1309	0	0
ENST00000526632	2006	1827	0	0
ENST00000527937	4165	3986	0	0
ENST00000529791	552	373	0	0
ENST00000614230	7621	7442	0	0
ENST00000337114	3427	3248	0	0
ENST00000508166	2164	1985	0	0
ENST00000503442	1232	1053	0	0
ENST00000511446	2018	1839	0	0
ENST00000504802	600	421	0	0
ENST00000508264	727	548	0	0
ENST00000613293	1233	1054	0	0
ENST00000610628	2154	1975	0	0
ENST00000627926	12809	12630	0	0
ENST00000630506	656	477	0	0
ENST00000630053	404	225	0	0
ENST00000626712	553	374	0	0
ENST00000619759	8003	7824	0	0
ENST00000417143	1956	1777	0	0
ENST00000453496	2469	2290	0	0
ENST00000623396	1002	823	0	0
ENST00000302622	1002	823	0	0
ENST00000429239	925	746	0	0
ENST00000445557	926	747	0	0
ENST00000339924	1608	1429	0	0
ENST00000391729	677	498	0	0
ENST00000553483	990	811	0	0
ENST00000615996	1563	1384	0	0
ENST00000623167	981	802	0	0
ENST00000625122	981	802	0	0
ENST00000402588	735	556	1	96.975
ENST00000621118	1112	933	0	0
ENST00000624865	765	586	0	0
ENST00000377712	679	500	0	0
ENST00000541415	944	765	0	0
ENST00000622436	921	742	0	0
ENST00000623973	1047	868	0	0
ENST00000341959	1047	868	0	0
ENST00000394191	931	752	0	0
ENST00000623332	978	799	0	0
ENST00000623942	978	799	0	0
ENST00000616914	1295	1116	0	0
ENST00000510471	897	718	0	0
ENST00000457194	1984	1805	0	0
ENST00000429712	1313	1134	0	0
ENST00000493176	545	366	0	0
ENST00000420396	1240	1061	2	101.636
ENST00000523857	3818	3639	0	0
ENST00000521053	3830	3651	0	0
ENST00000430863	4164	3985	0	0
ENST00000521161	613	434	0	0
ENST00000621837	4164	3985	0	0
ENST00000631283	936	757	0	0
ENST00000553765	940	761	0	0
ENST00000533152	948	769	0	0
ENST00000626647	2737	2558	0	0
ENST00000564451	2115	1936	0	0
ENST00000567207	1302	1123	10	480.125
ENST00000563927	1523	1344	0	0
ENST00000567960	1333	1154	7.50761e-08	3.50777e-06
ENST00000623845	939	760	0	0
ENST00000623750	939	760	0	0
ENST00000613512	1451	1272	0	0
ENST00000458137	1166	987	0	0
ENST00000375726	1306	1127	0	0
ENST00000447913	819	640	0	0
ENST00000446862	1196	1017	0	0
ENST00000441710	1168	989	0	0
ENST00000433738	709	530	0	0
ENST00000448103	1071	892	0	0
ENST00000417998	1401	1222	0	0
ENST00000494737	961	782	0	0
ENST00000508062	774	595	0	0
ENST00000422698	1685	1506	0	0
ENST00000619141	900	721	0	0
ENST00000621830	677	498	0	0
ENST00000606380	541	362	0	0
ENST00000616270	1132	953	0	0
ENST00000610963	1636	1457	0	0
ENST00000624504	1089	910	0	0
ENST00000392899	1084	905	0	0
ENST00000502411	566	387	0	0
ENST00000496692	554	375	0	0
ENST00000466542	1070	891	0	0
ENST00000465075	769	590	0	0
ENST00000473530	1632	1453	0	0
ENST00000473712	567	388	0	0
ENST00000482226	527	348	0	0
ENST00000467903	1101	922	0	0
ENST00000507374	553	374	0	0
ENST00000508651	542	363	0	0
ENST00000611236	958	779	0	0
ENST00000543859	1507	1328	0	0
ENST00000624978	948	769	0	0
ENST00000624198	948	769	0	0
ENST00000435756	929	750	0	0
ENST00000495672	589	410	0	0
ENST00000475169	611	432	0	0
ENST00000472159	768	589	0	0
ENST00000467490	1742	1563	0	0
ENST00000297158	1305	1126	0	0
ENST00000478939	1479	1300	0	0
ENST00000498734	724	545	0	0
ENST00000620812	1791	1612	0	0
ENST00000623907	933	754	0	0
ENST00000624571	933	754	0	0
ENST00000624618	1051	872	0	0
ENST00000624877	936	757	0	0
ENST00000624596	1026	847	0	0
ENST00000302969	1026	847	0	0
ENST00000579578	1482	1303	0	0
ENST00000586762	590	411	0	0
ENST00000588823	622	443	0	0
ENST00000611850	1407	1228	0	0
ENST00000591655	1456	1277	0	0
ENST00000574062	1655	1476	0	0
ENST00000575319	1738	1559	0	0
ENST00000576465	573	394	0	0
ENST00000573762	564	385	0	0
ENST00000614621	1504	1325	0	0
ENST00000612408	1657	1478	0	0
ENST00000619036	1734	1555	0	0
ENST00000625231	1030	851	0	0
ENST00000629539	945	766	0	0
ENST00000466254	758	579	0	0
ENST00000613761	936	757	0	0
ENST00000610566	948	769	0	0
ENST00000610847	945	766	0	0
ENST00000616837	942	763	0	0
ENST00000610547	1060	881	0	0
ENST00000610516	1579	1400	0	0
ENST00000436911	1013	834	0	0
ENST00000619762	1530	1351	0	0
ENST00000613738	1465	1286	0	0
ENST00000610889	936	757	0	0
ENST00000443402	2730	2551	0	0
ENST00000611116	976	797	0	0
ENST00000616778	1147	968	0	0
ENST00000611204	1226	1047	0	0
ENST00000613353	822	643	0	0
ENST00000618259	1415	1236	0	0
ENST00000390477	720	541	0	0
ENST00000617343	885	706	0	0
ENST00000390328	70	3.96502	0	0
ENST00000390320	127	6.75012	0	0
ENST00000390330	46	3.40257	0	0
ENST00000390240	38	3.25322	0	0
ENST00000390564	52	3.52559	0	0
ENST00000461719	46	3.40257	0	0
ENST00000390238	38	3.25322	0	0
ENST00000390241	39	3.27105	0	0
ENST00000390242	38	3.25322	0	0
ENST00000390322	175	14.9308	0	0
ENST00000390324	176	15.2527	0	0
ENST00000390326	33	3.16742	0	0
ENST00000390327	72	4.02165	0	0
ENST00000463911	49	3.46281	0	0
ENST00000390565	52	3.52559	0	0
ENST00000488476	49	3.46281	0	0
ENST00000390560	61	3.73072	0	0
ENST00000390239	37	3.23562	0	0
ENST00000390321	460	281	0	0
ENST00000390331	441	262	0	0
ENST00000390559	1485	1306	0	0
ENST00000610838	1883	1704	0	0
ENST00000613516	1880	1701	0	0
ENST00000390547	1112	933	0	0
ENST00000390237	523	344	0	0
ENST00000614656	824	645	0	0
ENST00000430694	908	729	0	0
ENST00000610638	940	761	0	0
ENST00000614252	923	744	0	0
ENST00000390323	462	283	0	0
ENST00000390541	1412	1233	0	0
ENST00000390543	1119	940	0	0
ENST00000390545	1132	953	0	0
ENST00000390325	462	283	0	0
ENST00000390556	1678	1499	0	0
ENST00000613640	1155	976	0	0
ENST00000390551	1268	1089	0	0
ENST00000616127	1566	1387	0	0
ENST00000621473	1732	1553	0	0
ENST00000390548	2619	2440	0	0
ENST00000390549	1128	949	0	0
ENST00000390542	1022	843	0	0
ENST00000612473	1428	1249	0	0
ENST00000613152	1595	1416	0	0
ENST00000619212	1628	1449	0	0
ENST00000618756	1639	1460	0	0
ENST00000618145	1543	1364	0	0
ENST00000615822	1597	1418	0	0
ENST00000390539	1071	892	0	0
ENST00000390282	419	240	0	0
ENST00000390314	400	221	0	0
ENST00000390287	365	186	0	0
ENST00000390284	362	183	0	0
ENST00000390310	374	195	0	0
ENST00000390318	403	224	0	0
ENST00000390311	375	196	0	0
ENST00000390315	386	207	0	0
ENST00000390312	402	223	0	0
ENST00000390313	360	181	0	0
ENST00000493819	409	230	0	0
ENST00000427632	409	230	0	0
ENST00000390291	405	226	0	0
ENST00000390316	461	282	0	0
ENST00000390319	398	219	0	0
ENST00000620395	521	342	0	0
ENST00000473726	382	203	0	0
ENST00000558152	324	145	0	0
ENST00000390295	385	206	0	0
ENST00000465170	398	219	0	0
ENST00000498574	398	219	0	0
ENST00000629472	412	233	0	0
ENST00000627634	383	204	0	0
ENST00000438142	428	249	0	0
ENST00000390597	378	199	0	0
ENST00000620613	314	135	0	0
ENST00000621595	312	133	0	0
ENST00000390302	412	233	0	0
ENST00000429992	332	153	0	0
ENST00000560045	312	133	0	0
ENST00000390618	426	247	0	0
ENST00000390604	425	246	0	0
ENST00000434710	434	255	0	0
ENST00000390612	425	246	0	0
ENST00000390605	410	231	0	0
ENST00000390593	415	236	0	0
ENST00000448155	376	197	0	0
ENST00000390616	400	221	0	0
ENST00000390624	432	253	0	0
ENST00000390602	430	251	0	0
ENST00000390619	425	246	0	0
ENST00000390594	417	238	0	0
ENST00000390595	395	216	0	0
ENST00000390609	432	253	0	0
ENST00000390252	442	263	0	0
ENST00000468494	390	211	0	0
ENST00000390256	406	227	0	0
ENST00000496168	532	353	0	0
ENST00000390607	430	251	0	0
ENST00000390621	411	232	0	0
ENST00000390617	366	187	0	0
ENST00000390289	379	200	0	0
ENST00000626489	397	218	0	0
ENST00000498435	382	203	0	0
ENST00000480492	398	219	0	0
ENST00000628287	466	287	0	0
ENST00000484817	390	211	0	0
ENST00000618644	385	206	0	0
ENST00000390290	400	221	0	0
ENST00000630493	369	190	0	0
ENST00000390293	369	190	0	0
ENST00000483158	392	213	0	0
ENST00000611170	702	523	0	0
ENST00000490686	378	199	0	0
ENST00000390243	538	359	0	0
ENST00000482769	390	211	0	0
ENST00000492167	400	221	0	0
ENST00000390244	408	229	0	0
ENST00000421835	350	171	0	0
ENST00000630556	353	174	0	0
ENST00000628219	534	355	0	0
ENST00000509129	353	174	0	0
ENST00000626108	353	174	0	0
ENST00000338912	353	174	0	0
ENST00000390296	397	218	0	0
ENST00000628927	355	176	0	0
ENST00000618026	393	214	0	0
ENST00000615359	351	172	0	0
ENST00000628968	374	195	0	0
ENST00000610349	407	228	0	0
ENST00000558565	359	180	0	0
ENST00000454421	431	252	0	0
ENST00000618085	225	46.6066	0	0
ENST00000390632	427	248	0	0
ENST00000390627	571	392	0	0
ENST00000390625	439	260	0	0
ENST00000613477	342	163	0	0
ENST00000390629	495	316	0	0
ENST00000390630	457	278	0	0
ENST00000390628	414	235	0	0
ENST00000390626	410	231	0	0
ENST00000453673	353	174	0	0
ENST00000390303	383	204	0	0
ENST00000354689	294	115	0	0
ENST00000558425	288	109	0	0
ENST00000390297	467	288	0	0
ENST00000390298	385	206	0	0
ENST00000627132	384	205	0	0
ENST00000614332	333	154	0	0
ENST00000390299	407	228	0	0
ENST00000390300	374	195	0	0
ENST00000390301	393	214	0	0
ENST00000604066	353	174	0	0
ENST00000622410	353	174	0	0
ENST00000628076	348	169	0	0
ENST00000390265	440	261	0	0
ENST00000611734	324	145	0	0
ENST00000390294	407	228	0	0
ENST00000474213	395	216	0	0
ENST00000491977	390	211	0	0
ENST00000612356	310	131	0	0
ENST00000557788	353	174	0	0
ENST00000453166	396	217	0	0
ENST00000558026	306	127	0	0
ENST00000390268	390	211	0	0
ENST00000622028	353	174	0	0
ENST00000390611	381	202	0	0
ENST00000462693	390	211	0	0
ENST00000570121	353	174	0	0
ENST00000436451	409	230	0	0
ENST00000417279	396	217	0	0
ENST00000390270	445	266	0	0
ENST00000377032	371	192	0	0
ENST00000390271	371	192	0	0
ENST00000390277	444	265	0	0
ENST00000611740	324	145	0	0
ENST00000492446	378	199	0	0
ENST00000611391	376	197	0	0
ENST00000483379	532	353	0	0
ENST00000390603	437	258	0	0
ENST00000562905	353	174	0	0
ENST00000603660	431	252	0	0
ENST00000390601	473	294	0	0
ENST00000390622	655	476	0	0
ENST00000390598	430	251	0	0
ENST00000390606	415	236	0	0
ENST00000455737	417	238	0	0
ENST00000390615	431	252	0	0
ENST00000390278	373	194	0	0
ENST00000390610	411	232	0	0
ENST00000425181	350	171	0	0
ENST00000390247	445	266	0	0
ENST00000464162	380	201	0	0
ENST00000479981	378	199	0	0
ENST00000495489	398	219	0	0
ENST00000377423	705	526	0	0
ENST00000565407	349	170	0	0
ENST00000468879	532	353	0	0
ENST00000471857	534	355	0	0
ENST00000443397	384	205	0	0
ENST00000567458	358	179	0	0
ENST00000390286	426	247	0	0
ENST00000390285	623	444	0	0
ENST00000390283	414	235	0	0
ENST00000390304	377	198	0	0
ENST00000390305	380	201	0	0
ENST00000390306	502	323	0	0
ENST00000390307	409	230	0	0
ENST00000390308	602	423	0	0
ENST00000390309	377	198	0	0
ENST00000390633	412	233	0	0
ENST00000390634	434	255	0	0
ENST00000624687	411	232	0	0
ENST00000617374	358	179	0	0
ENST00000433072	437	258	0	0
ENST00000621503	303	124	0	0
ENST00000390636	437	258	0	0
ENST00000390639	405	226	0	0
ENST00000424969	587	408	0	0
ENST00000390412	50	3.48345	0	0
ENST00000390417	48	3.44246	0	0
ENST00000390418	53	3.5471	0	0
ENST00000390414	46	3.40257	0	0
ENST00000390416	50	3.48345	0	0
ENST00000390415	49	3.46281	0	0
ENST00000390413	51	3.50437	0	0
ENST00000390419	47	3.42238	0	0
ENST00000390334	60	3.70659	0	0
ENST00000390339	60	3.70659	0	0
ENST00000390337	50	3.48345	0	0
ENST00000390333	50	3.48345	0	0
ENST00000390338	61	3.73072	0	0
ENST00000390534	62	3.75521	0	0
ENST00000390520	63	3.78007	0	0
ENST00000390480	54	3.56892	0	0
ENST00000390527	64	3.8053	0	0
ENST00000390495	66	3.85692	0	0
ENST00000390521	60	3.70659	0	0
ENST00000390528	61	3.73072	0	0
ENST00000390496	62	3.75521	0	0
ENST00000390499	62	3.75521	0	0
ENST00000614481	58	3.65937	0	0
ENST00000390497	61	3.73072	0	0
ENST00000390517	57	3.63627	0	0
ENST00000390503	58	3.65937	0	0
ENST00000390486	69	3.93736	0	0
ENST00000390505	66	3.85692	0	0
ENST00000390504	57	3.63627	0	0
ENST00000390516	55	3.59105	0	0
ENST00000390519	66	3.85692	0	0
ENST00000390511	60	3.70659	0	0
ENST00000390491	63	3.78007	0	0
ENST00000390490	57	3.63627	0	0
ENST00000390507	57	3.63627	0	0
ENST00000390514	63	3.78007	0	0
ENST00000390481	63	3.78007	0	0
ENST00000390536	62	3.75521	0	0
ENST00000390510	59	3.6828	0	0
ENST00000390502	59	3.6828	0	0
ENST00000390494	54	3.56892	0	0
ENST00000390512	60	3.70659	0	0
ENST00000390513	63	3.78007	0	0
ENST00000390531	62	3.75521	0	0
ENST00000390475	54	3.56892	0	0
ENST00000390498	63	3.78007	0	0
ENST00000390493	63	3.78007	0	0
ENST00000390506	57	3.63627	0	0
ENST00000390523	52	3.52559	0	0
ENST00000390532	60	3.70659	0	0
ENST00000390479	60	3.70659	0	0
ENST00000612375	65	3.83091	0	0
ENST00000390530	59	3.6828	0	0
ENST00000390535	66	3.85692	0	0
ENST00000390484	60	3.70659	0	0
ENST00000390487	60	3.70659	0	0
ENST00000390482	63	3.78007	0	0
ENST00000390533	63	3.78007	0	0
ENST00000390489	63	3.78007	0	0
ENST00000390488	56	3.6135	0	0
ENST00000390509	66	3.85692	0	0
ENST00000390525	60	3.70659	0	0
ENST00000390483	62	3.75521	0	0
ENST00000390518	60	3.70659	0	0
ENST00000390485	66	3.85692	0	0
ENST00000390474	48	3.44246	0	0
ENST00000390524	63	3.78007	0	0
ENST00000390476	59	3.6828	0	0
ENST00000390508	60	3.70659	0	0
ENST00000390492	66	3.85692	0	0
ENST00000390473	51	3.50437	0	0
ENST00000390515	63	3.78007	0	0
ENST00000390526	60	3.70659	0	0
ENST00000361390	956	777	125	8674.08
ENST00000361453	1042	863	144	8996.76
ENST00000361624	1542	1363	1008	39874.9
ENST00000361739	684	505	361	38543.4
ENST00000361851	207	31.3862	44	75587.1
ENST00000361899	681	502	307	32973.8
ENST00000362079	784	605	385	34311.5
ENST00000361227	346	167	23	7425.84
ENST00000361335	297	118	58	26502.1
ENST00000361381	1378	1199	562	25272.7
ENST00000361567	1812	1633	286	9443.09
ENST00000361681	525	346	105	16362.4
ENST00000361789	1141	962	203	11377.7
ENST00000267889	12614	12435	1	4.33599
ENST00000559721	335	156	0	0
ENST00000558623	519	340	0	0
ENST00000561261	401	222	0	0
ENST00000619217	864	685	1.18924	93.6078
ENST00000620390	288	109	0.810764	401.054
ENST00000612251	1691	1512	0	0
ENST00000282026	3760	3581	0	0
ENST00000490932	217	39.4185	0	0
ENST00000612978	1220	1041	0	0
ENST00000614395	1886	1707	0	0
ENST00000620199	463	284	0	0
ENST00000613577	354	175	0	0
ENST00000621725	473	294	0	0
ENST00000618859	788	609	0	0
ENST00000613597	366	187	0	0
ENST00000383209	1694	1515	0	0
ENST00000381812	1550	1371	0	0
ENST00000381808	1261	1082	0	0
ENST00000339987	1404	1225	0	0
ENST00000360779	1519	1340	0	0
ENST00000467129	480	301	0	0
ENST00000615838	1096	917	0	0
ENST00000622165	747	568	0	0
ENST00000626328	712	533	0	0
ENST00000613440	798	619	0	0
ENST00000626738	491	312	0	0
ENST00000630826	581	402	1	134.125
ENST00000626686	731	552	0	0
ENST00000628199	2194	2015	0	0
ENST00000616412	565	386	0	0
ENST00000452123	1847	1668	0	0
ENST00000215539	2116	1937	0	0
ENST00000415638	2136	1957	0	0
ENST00000568221	730	551	0	0
ENST00000626153	6066	5887	0	0
ENST00000617836	2803	2624	0	0
ENST00000614271	3174	2995	1	18.0027
ENST00000626917	3035	2856	0	0
ENST00000628682	697	518	0	0
ENST00000628382	564	385	0	0
ENST00000630443	667	488	0	0
ENST00000631147	691	512	0	0
ENST00000630564	727	548	0	0
ENST00000629384	609	430	0	0
ENST00000625855	770	591	0	0
ENST00000629815	390	211	0	0
ENST00000465992	3672	3493	0	0
ENST00000443494	864	685	0	0
ENST00000437507	736	557	0	0
ENST00000443142	743	564	0	0
ENST00000453694	754	575	0	0
ENST00000471263	571	392	0	0
ENST00000039007	1585	1406	0	0
ENST00000488812	627	448	0	0
ENST00000284881	5433	5254	1.20976	12.4149
ENST00000400559	1593	1414	0	0
ENST00000400558	1090	911	1.79024	105.956
ENST00000405964	896	717	0	0
ENST00000493464	744	565	0	0
ENST00000482915	665	486	0	0
ENST00000485272	2005	1826	0	0
ENST00000490393	1885	1706	0	0
ENST00000329553	2235	2056	0	0
ENST00000376979	959	780	0	0
ENST00000217939	9793	9614	16	89.7326
ENST00000338244	6944	6765	6.02858	48.0487
ENST00000379333	6962	6783	0.971418	7.7218
ENST00000423430	911	732	0	0
ENST00000468355	1934	1755	0	0
ENST00000496331	761	582	0	0
ENST00000414518	1643	1464	0	0
ENST00000421374	2565	2386	0	0
ENST00000314328	6756	6577	0	0
ENST00000416735	566	387	0	0
ENST00000541492	3525	3346	9.81232	158.118
ENST00000440893	612	433	0	0
ENST00000472799	767	588	0	0
ENST00000437398	6674	6495	6.18768	51.3669
ENST00000471840	552	373	1	144.553
ENST00000378412	2849	2670	0	0
ENST00000502556	1943	1764	0	0
ENST00000504800	2443	2264	0	0
ENST00000491941	482	303	0	0
ENST00000464195	559	380	0	0
ENST00000469962	460	281	0	0
ENST00000509374	546	367	0	0
ENST00000511099	554	375	0	0
ENST00000617982	2852	2673	3.46698	69.9338
ENST00000612029	4517	4338	0	0
ENST00000620970	4138	3959	0	0
ENST00000612729	1125	946	0	0
ENST00000614542	2778	2599	0	0
ENST00000615532	1269	1090	0	0
ENST00000613470	784	605	0	0
ENST00000622342	2048	1869	0	0
ENST00000613028	541	362	0.53008	78.9527
ENST00000622193	2765	2586	0	0
ENST00000216727	2001	1822	6.31895	186.995
ENST00000397276	2768	2589	0	0
ENST00000556821	1220	1041	0	0
ENST00000556809	969	790	0	0
ENST00000557702	778	599	0	0
ENST00000554062	589	410	0	0
ENST00000553960	817	638	0	0
ENST00000555295	406	227	1.68105	399.291
ENST00000327783	3179	3000	0	0
ENST00000389125	3140	2961	0	0
ENST00000399913	3234	3055	0	0
ENST00000399914	3624	3445	0	0
ENST00000389124	2712	2533	0	0
ENST00000399907	3472	3293	0	0
ENST00000399909	3427	3248	0	0
ENST00000472429	1775	1596	0	0
ENST00000309434	2637	2458	0	0
ENST00000535441	2896	2717	0	0
ENST00000304062	2181	2002	0	0
ENST00000505203	2011	1832	0	0
ENST00000506404	569	390	0	0
ENST00000504062	497	318	0	0
ENST00000266557	1338	1159	0	0
ENST00000541233	1045	866	0	0
ENST00000215855	867	688	0	0
ENST00000404334	601	422	0	0
ENST00000629874	267	88.0006	0	0
ENST00000629040	425	246	0	0
ENST00000630138	263	84.0013	0	0
ENST00000566339	1784	1605	0	0
ENST00000564709	2316	2137	0	0
ENST00000569380	1781	1602	0	0
ENST00000567868	1628	1449	0	0
ENST00000563741	1746	1567	0	0
ENST00000301717	1449	1270	0	0
